area_code,area_name,sex,year,all_ages,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90_and_over,under_75,over_75
S92000003,Scotland,Persons,2021,5479900,46782,49017,51478,53317,54843,57070,57945,58262,59490,60960,62868,59950,61557,61334,58857,57792,57280,56179,55074,57305,61314,63526,66277,69034,71827,71242,71264,73491,75198,79523,79853,76958,76395,76227,73900,73404,72855,70423,71179,72113,71460,69923,67428,62504,61236,64443,64670,65770,69572,73843,76442,75420,78255,79663,80011,79389,81987,80973,80622,78439,76225,73417,72636,70250,68098,65670,62371,61188,59360,56835,56692,56433,57056,58119,61854,45663,42249,42149,39250,34988,31336,30894,29041,27044,24360,21934,19692,16983,14476,12903,45321,5001617,478283
S08000015,Ayrshire and Arran,Persons,2021,368690,2944,3225,3171,3439,3456,3776,3816,3723,3795,4095,4232,3968,4145,4116,4075,3951,3988,3891,3751,3641,3735,3760,3809,4077,4095,4006,4182,4247,4047,4052,4172,3965,4067,4155,4174,4067,3949,3926,3836,4098,4145,4163,3980,3702,3666,4101,4275,4363,4671,5052,5346,5348,5574,5711,5757,5750,6033,6045,5909,5785,5684,5463,5632,5430,5258,5083,4917,4866,4870,4594,4574,4504,4662,4785,5124,3760,3536,3526,3288,2881,2536,2590,2223,2128,1921,1662,1481,1279,1133,968,3339,330439,38251
S08000016,Borders,Persons,2021,116020,871,939,1005,1102,1071,1199,1155,1273,1295,1268,1276,1238,1286,1285,1238,1222,1248,1236,1112,1082,1007,1090,1067,1083,1152,1063,1089,1053,1113,1020,968,1127,1048,1097,1064,1135,1166,1195,1205,1235,1187,1319,1164,1084,1153,1254,1344,1404,1506,1733,1713,1730,1852,1859,1910,1930,1956,1907,1958,1867,1853,1860,1846,1789,1809,1670,1694,1624,1612,1529,1548,1585,1601,1702,1853,1302,1230,1192,1149,955,869,877,828,779,689,567,511,462,386,320,1121,102783,13237
S08000017,Dumfries and Galloway,Persons,2021,148790,1118,1168,1212,1299,1336,1344,1378,1394,1454,1484,1641,1593,1607,1625,1632,1597,1588,1497,1460,1285,1337,1331,1380,1534,1466,1487,1607,1535,1496,1442,1486,1470,1487,1601,1526,1462,1523,1517,1446,1583,1501,1508,1435,1392,1308,1528,1522,1616,1733,1951,2064,2117,2249,2259,2368,2367,2593,2600,2537,2488,2454,2355,2367,2295,2193,2189,2177,2164,2098,2089,2064,2087,2111,2146,2268,1720,1643,1635,1555,1397,1258,1163,1071,980,950,858,707,632,548,454,1598,130621,18169
S08000029,Fife,Persons,2021,374730,3102,3332,3502,3630,3734,3894,4099,4066,4206,4275,4486,4324,4416,4353,4116,4145,4040,4026,4018,4436,4728,4478,4516,4231,4388,4434,4398,4488,4533,4584,4492,4496,4559,4463,4279,4454,4390,4193,4420,4594,4618,4551,4504,4166,4146,4362,4399,4535,4795,5102,5371,5219,5540,5622,5691,5506,5718,5651,5538,5391,5244,5339,5184,5027,4778,4650,4460,4435,4225,4130,4223,4243,4320,4475,4869,3478,3340,3280,2905,2705,2232,2272,2110,1914,1759,1618,1412,1178,1044,876,3262,339345,35385
S08000019,Forth Valley,Persons,2021,305710,2550,2605,2713,2958,2991,3159,3171,3232,3287,3564,3481,3481,3586,3612,3554,3445,3423,3390,3259,3272,3627,3730,3635,3654,3718,3589,3630,3660,3710,3793,3885,3851,3742,3811,3609,3619,3730,3616,3672,3864,3731,3744,3858,3643,3604,3807,3889,3868,4265,4558,4623,4679,4763,4817,4804,4682,4807,4727,4643,4437,4350,4154,4070,3901,3784,3576,3376,3351,3378,3156,3329,3268,3311,3358,3678,2603,2440,2457,2266,1972,1800,1704,1716,1487,1419,1222,1108,863,756,724,2306,278867,26843
S08000020,Grampian,Persons,2021,586530,4994,5400,5821,5987,6124,6502,6372,6441,6464,6547,6866,6843,6749,6744,6303,6222,5971,5828,5733,5907,6154,6535,6615,6795,7061,7063,7084,7160,7588,8359,8518,8327,8526,8366,8283,8379,8410,7918,8227,8357,8121,8052,7672,7170,7199,7398,7263,7537,7904,8108,8407,7985,8305,8182,8366,8309,8532,8325,8518,8137,7714,7488,7343,7364,7096,7044,6699,6556,6108,6035,5970,5992,6104,6107,6577,4863,4185,4157,4013,3709,3216,3240,2903,2799,2487,2238,2092,1799,1522,1360,4717,537230,49300
S08000031,Greater Glasgow and Clyde,Persons,2021,1185040,10442,10995,11611,11655,12214,12382,12606,12876,13037,13232,13553,12494,12617,12616,12094,11901,11965,11714,11794,12669,14128,14970,15974,17621,18541,18655,18600,18937,20039,21824,21140,20153,19615,19248,18301,17943,17168,16406,16589,16188,16108,15526,14880,13544,12796,13458,13306,13351,14147,14905,15548,15598,16174,16460,16418,16515,16667,16776,16518,16448,15860,14862,14944,14193,13568,13230,12264,11676,11032,10465,10539,10225,10231,10305,10759,8051,7677,7630,7002,6151,5866,5658,5569,5091,4752,4169,3840,3305,2825,2550,9101,1095803,89237
S08000022,Highland,Persons,2021,324280,2425,2586,2697,2782,2936,3097,3226,3092,3239,3400,3463,3380,3666,3621,3464,3497,3470,3429,3252,3191,3166,3122,3360,3340,3358,3352,3385,3538,3340,3276,3422,3338,3397,3425,3574,3566,3665,3751,3652,3816,4089,3819,3610,3443,3453,3641,3820,3792,4121,4427,4649,4677,4727,5085,5108,5235,5518,5399,5278,5139,5151,4957,4897,4767,4721,4594,4346,4365,4296,4193,4185,4109,4266,4328,4437,3381,3090,3213,2972,2598,2277,2268,2078,1958,1689,1577,1431,1230,1039,931,3150,289398,34882
S08000032,Lanarkshire,Persons,2021,664030,6232,6402,6770,6939,7067,7307,7425,7261,7546,7697,7877,7617,7892,7954,7752,7568,7475,7462,7027,6906,7113,7197,7733,7418,7969,7673,7785,8094,8151,8508,8287,7858,8013,8307,8091,8528,8527,8397,8602,8838,9124,8956,8334,7962,7600,8272,8265,8411,8854,9610,9827,9814,10186,10362,10269,10036,10347,10334,10118,9963,9565,9335,8974,8670,8461,8171,7714,7643,7304,6930,6622,6676,6599,6801,6940,5310,4824,4927,4608,4042,3605,3501,3325,3129,2724,2547,2106,1772,1599,1299,4398,610314,53716
