year,hbr_name,age,sex,diagnosis,incidence,crude_rate,easr,fyear
2013,Scotland,0-44,Male,Cerebrovascular Disease,247,16.8884385305281,17.7484916681815,2012/13
2013,Scotland,0-44,Female,Cerebrovascular Disease,256,17.4336092746801,17.566606217755,2012/13
2013,Scotland,45-64,Male,Cerebrovascular Disease,1544,216.920653965194,219.874060173277,2012/13
2013,Scotland,45-64,Female,Cerebrovascular Disease,1094,146.823761828775,148.325893641063,2012/13
2013,Scotland,65-74,Male,Cerebrovascular Disease,1432,599.215830679683,613.691247014327,2012/13
2013,Scotland,65-74,Female,Cerebrovascular Disease,1228,457.681255567275,463.469626845736,2012/13
2013,Scotland,over 75,Male,Cerebrovascular Disease,2635,1606.79549487472,1724.81515465892,2012/13
2013,Scotland,over 75,Female,Cerebrovascular Disease,4196,1648.96919775841,1616.58388089008,2012/13
2013,Ayrshire and Arran,0-44,Male,Cerebrovascular Disease,22,23.3995256277986,25.3232691324705,2012/13
2013,Ayrshire and Arran,0-44,Female,Cerebrovascular Disease,15,15.5332567026003,14.764964380138,2012/13
2013,Ayrshire and Arran,45-64,Male,Cerebrovascular Disease,116,223.467992063033,222.772144020147,2012/13
2013,Ayrshire and Arran,45-64,Female,Cerebrovascular Disease,81,144.277011862777,144.66516655084,2012/13
2013,Ayrshire and Arran,65-74,Male,Cerebrovascular Disease,144,729.594163246694,745.378652355397,2012/13
2013,Ayrshire and Arran,65-74,Female,Cerebrovascular Disease,112,508.928977143636,512.189860171174,2012/13
2013,Ayrshire and Arran,over 75,Male,Cerebrovascular Disease,204,1568.14513029441,1733.30358303297,2012/13
2013,Ayrshire and Arran,over 75,Female,Cerebrovascular Disease,335,1689.35955622794,1652.61392337611,2012/13
2013,Borders,0-44,Male,Cerebrovascular Disease,5,18.6727415319117,22.4047986932462,2012/13
2013,Borders,0-44,Female,Cerebrovascular Disease,7,25.6777080811416,24.1420030408408,2012/13
2013,Borders,45-64,Male,Cerebrovascular Disease,46,268.566090611864,267.27505773222,2012/13
2013,Borders,45-64,Female,Cerebrovascular Disease,27,153.26105466311,151.797024130866,2012/13
2013,Borders,65-74,Male,Cerebrovascular Disease,29,434.913017396521,451.743862818218,2012/13
