year,ca,age,sex,diagnosis,number_of_deaths,crude_rate,easr,ca_name,hb,hb_name
2009,S92000003,All,All,Cerebrovascular Disease,4911,93.87,116.33,Scotland,S92000003,Scotland
2009,S92000003,All,All,Stroke,2732,52.22,62.47,Scotland,S92000003,Scotland
2009,S92000003,All,All,Subarachnoid Haemorrhage,189,3.61,3.73,Scotland,S92000003,Scotland
2009,S92000003,All,Male,Cerebrovascular Disease,1843,72.79,116.98,Scotland,S92000003,Scotland
2009,S92000003,All,Male,Stroke,988,39.02,59.5,Scotland,S92000003,Scotland
2009,S92000003,All,Male,Subarachnoid Haemorrhage,64,2.53,2.85,Scotland,S92000003,Scotland
2009,S92000003,All,Female,Cerebrovascular Disease,3068,113.63,115.68,Scotland,S92000003,Scotland
2009,S92000003,All,Female,Stroke,1744,64.59,65.43,Scotland,S92000003,Scotland
2009,S92000003,All,Female,Subarachnoid Haemorrhage,125,4.63,4.61,Scotland,S92000003,Scotland
2009,S92000003,0-44,All,Cerebrovascular Disease,60,2.03,2.04,Scotland,S92000003,Scotland
2009,S92000003,0-44,All,Stroke,29,0.98,0.98,Scotland,S92000003,Scotland
2009,S92000003,0-44,All,Subarachnoid Haemorrhage,24,0.81,0.82,Scotland,S92000003,Scotland
2009,S92000003,0-44,Male,Cerebrovascular Disease,35,2.38,2.44,Scotland,S92000003,Scotland
2009,S92000003,0-44,Male,Stroke,20,1.36,1.37,Scotland,S92000003,Scotland
2009,S92000003,0-44,Male,Subarachnoid Haemorrhage,10,0.68,0.73,Scotland,S92000003,Scotland
2009,S92000003,0-44,Female,Cerebrovascular Disease,25,1.69,1.64,Scotland,S92000003,Scotland
2009,S92000003,0-44,Female,Stroke,9,0.61,0.59,Scotland,S92000003,Scotland
2009,S92000003,0-44,Female,Subarachnoid Haemorrhage,14,0.95,0.92,Scotland,S92000003,Scotland
2009,S92000003,45-64,All,Cerebrovascular Disease,358,25.35,25.64,Scotland,S92000003,Scotland
2009,S92000003,45-64,All,Stroke,198,14.02,14.23,Scotland,S92000003,Scotland
2009,S92000003,45-64,All,Subarachnoid Haemorrhage,84,5.95,5.94,Scotland,S92000003,Scotland
2009,S92000003,45-64,Male,Cerebrovascular Disease,190,27.5,27.84,Scotland,S92000003,Scotland
2009,S92000003,45-64,Male,Stroke,110,15.92,16.15,Scotland,S92000003,Scotland
2009,S92000003,45-64,Male,Subarachnoid Haemorrhage,33,4.78,4.82,Scotland,S92000003,Scotland
2009,S92000003,45-64,Female,Cerebrovascular Disease,168,23.29,23.44,Scotland,S92000003,Scotland
2009,S92000003,45-64,Female,Stroke,88,12.2,12.31,Scotland,S92000003,Scotland
2009,S92000003,45-64,Female,Subarachnoid Haemorrhage,51,7.07,7.06,Scotland,S92000003,Scotland
2009,S92000003,65-74,All,Cerebrovascular Disease,627,132.37,134.95,Scotland,S92000003,Scotland
2009,S92000003,65-74,All,Stroke,398,84.03,85.26,Scotland,S92000003,Scotland
2009,S92000003,65-74,All,Subarachnoid Haemorrhage,33,6.97,6.84,Scotland,S92000003,Scotland
2009,S92000003,65-74,Male,Cerebrovascular Disease,329,149.71,152.12,Scotland,S92000003,Scotland
2009,S92000003,65-74,Male,Stroke,203,92.37,93.5,Scotland,S92000003,Scotland
2009,S92000003,65-74,Male,Subarachnoid Haemorrhage,10,4.55,4.61,Scotland,S92000003,Scotland
2009,S92000003,65-74,Female,Cerebrovascular Disease,298,117.36,117.77,Scotland,S92000003,Scotland
2009,S92000003,65-74,Female,Stroke,195,76.8,77.03,Scotland,S92000003,Scotland
2009,S92000003,65-74,Female,Subarachnoid Haemorrhage,23,9.06,9.08,Scotland,S92000003,Scotland
2009,S92000003,under 75,All,Cerebrovascular Disease,1045,21.61,24.25,Scotland,S92000003,Scotland
2009,S92000003,under 75,All,Stroke,625,12.93,14.56,Scotland,S92000003,Scotland
2009,S92000003,under 75,All,Subarachnoid Haemorrhage,141,2.92,3.01,Scotland,S92000003,Scotland
2009,S92000003,under 75,Male,Cerebrovascular Disease,554,23.27,27.1,Scotland,S92000003,Scotland
2009,S92000003,under 75,Male,Stroke,333,13.99,16.3,Scotland,S92000003,Scotland
2009,S92000003,under 75,Male,Subarachnoid Haemorrhage,53,2.23,2.37,Scotland,S92000003,Scotland
2009,S92000003,under 75,Female,Cerebrovascular Disease,491,20.01,21.39,Scotland,S92000003,Scotland
2009,S92000003,under 75,Female,Stroke,292,11.9,12.82,Scotland,S92000003,Scotland
2009,S92000003,under 75,Female,Subarachnoid Haemorrhage,88,3.59,3.65,Scotland,S92000003,Scotland
2009,S92000003,over 75,All,Cerebrovascular Disease,3866,974.03,1047.43,Scotland,S92000003,Scotland
2009,S92000003,over 75,All,Stroke,2107,530.85,546.85,Scotland,S92000003,Scotland
2009,S92000003,over 75,All,Subarachnoid Haemorrhage,48,12.09,10.97,Scotland,S92000003,Scotland
2009,S92000003,over 75,Male,Cerebrovascular Disease,1289,852.89,1025.75,Scotland,S92000003,Scotland
2009,S92000003,over 75,Male,Stroke,655,433.39,496.28,Scotland,S92000003,Scotland
2009,S92000003,over 75,Male,Subarachnoid Haemorrhage,11,7.28,7.68,Scotland,S92000003,Scotland
2009,S92000003,over 75,Female,Cerebrovascular Disease,2577,1048.52,1069.11,Scotland,S92000003,Scotland
2009,S92000003,over 75,Female,Stroke,1452,590.78,597.41,Scotland,S92000003,Scotland
2009,S92000003,over 75,Female,Subarachnoid Haemorrhage,37,15.05,14.26,Scotland,S92000003,Scotland
2009,S12000005,All,All,Cerebrovascular Disease,42,81.89,107.25,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,All,All,Stroke,23,44.84,59.57,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,All,All,Subarachnoid Haemorrhage,3,5.85,5.5,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,All,Male,Cerebrovascular Disease,12,47.99,73.36,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,All,Male,Stroke,7,27.99,45.85,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,All,Male,Subarachnoid Haemorrhage,1,4,4,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,All,Female,Cerebrovascular Disease,30,114.14,141.14,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,All,Female,Stroke,16,60.88,73.28,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,All,Female,Subarachnoid Haemorrhage,2,7.61,7,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,0-44,All,Cerebrovascular Disease,0,0,9.53,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,0-44,All,Stroke,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,0-44,All,Subarachnoid Haemorrhage,0,0,6.48,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,0-44,Male,Cerebrovascular Disease,0,0,6.1,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,0-44,Male,Stroke,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,0-44,Male,Subarachnoid Haemorrhage,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,0-44,Female,Cerebrovascular Disease,0,0,12.96,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,0-44,Female,Stroke,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,0-44,Female,Subarachnoid Haemorrhage,0,0,12.96,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,45-64,All,Cerebrovascular Disease,0,0,28.51,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,45-64,All,Stroke,0,0,13.86,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,45-64,All,Subarachnoid Haemorrhage,0,0,7.54,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,45-64,Male,Cerebrovascular Disease,0,0,28.57,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,45-64,Male,Stroke,0,0,13.49,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,45-64,Male,Subarachnoid Haemorrhage,0,0,15.08,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,45-64,Female,Cerebrovascular Disease,0,0,28.46,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,45-64,Female,Stroke,0,0,14.23,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,45-64,Female,Subarachnoid Haemorrhage,0,0,0,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,65-74,All,Cerebrovascular Disease,0,0,42.29,Clackmannanshire,S08000019,NHS Forth Valley
2009,S12000005,65-74,All,Stroke,0,0,42.29,Clackmannanshire,S08000019,NHS Forth Valley
