year,hbr,age,sex,diagnosis,number_of_deaths,crude_rate,easr
2009,S92000003,All,All,Cerebrovascular Disease,4911,93.86647,116.3335
2009,S92000003,All,All,Stroke,2732,52.21812,62.4669
2009,S92000003,All,All,Subarachnoid Haemorrhage,189,3.612454,3.725818
2009,S92000003,All,Male,Cerebrovascular Disease,1843,72.7892,116.9822
2009,S92000003,All,Male,Stroke,988,39.02101,59.50055
2009,S92000003,All,Male,Subarachnoid Haemorrhage,64,2.527677,2.84546
2009,S92000003,All,Female,Cerebrovascular Disease,3068,113.6325,115.6848
2009,S92000003,All,Female,Stroke,1744,64.59424,65.43325
2009,S92000003,All,Female,Subarachnoid Haemorrhage,125,4.629748,4.606177
2009,S92000003,0-44,All,Cerebrovascular Disease,60,2.034432,2.039087
2009,S92000003,0-44,All,Stroke,29,0.983309,0.977337
2009,S92000003,0-44,All,Subarachnoid Haemorrhage,24,0.813773,0.824888
2009,S92000003,0-44,Male,Cerebrovascular Disease,35,2.380572,2.435915
2009,S92000003,0-44,Male,Stroke,20,1.360327,1.368782
2009,S92000003,0-44,Male,Subarachnoid Haemorrhage,10,0.680163,0.728234
2009,S92000003,0-44,Female,Cerebrovascular Disease,25,1.690342,1.642259
2009,S92000003,0-44,Female,Stroke,9,0.608523,0.585892
2009,S92000003,0-44,Female,Subarachnoid Haemorrhage,14,0.946591,0.921542
2009,S92000003,45-64,All,Cerebrovascular Disease,358,25.35233,25.63822
2009,S92000003,45-64,All,Stroke,198,14.02168,14.22702
2009,S92000003,45-64,All,Subarachnoid Haemorrhage,84,5.948591,5.942692
2009,S92000003,45-64,Male,Cerebrovascular Disease,190,27.50263,27.83549
2009,S92000003,45-64,Male,Stroke,110,15.92258,16.14554
2009,S92000003,45-64,Male,Subarachnoid Haemorrhage,33,4.776773,4.820528
2009,S92000003,45-64,Female,Cerebrovascular Disease,168,23.2927,23.44094
2009,S92000003,45-64,Female,Stroke,88,12.20094,12.3085
2009,S92000003,45-64,Female,Subarachnoid Haemorrhage,51,7.070998,7.064857
2009,S92000003,65-74,All,Cerebrovascular Disease,627,132.3718,134.9471
2009,S92000003,65-74,All,Stroke,398,84.02545,85.2639
2009,S92000003,65-74,All,Subarachnoid Haemorrhage,33,6.966935,6.844232
2009,S92000003,65-74,Male,Cerebrovascular Disease,329,149.7108,152.1196
2009,S92000003,65-74,Male,Stroke,203,92.37476,93.49889
2009,S92000003,65-74,Male,Subarachnoid Haemorrhage,10,4.5504810000000004,4.609441
2009,S92000003,65-74,Female,Cerebrovascular Disease,298,117.3649,117.7746
2009,S92000003,65-74,Female,Stroke,195,76.79917,77.02891
2009,S92000003,65-74,Female,Subarachnoid Haemorrhage,23,9.058363,9.079023
2009,S92000003,under 75,All,Cerebrovascular Disease,1045,21.61328,24.2469
2009,S92000003,under 75,All,Stroke,625,12.9266,14.56113
2009,S92000003,under 75,All,Subarachnoid Haemorrhage,141,2.916241,3.009778
2009,S92000003,under 75,Male,Cerebrovascular Disease,554,23.26915,27.10369
2009,S92000003,under 75,Male,Stroke,333,13.98669,16.3023
2009,S92000003,under 75,Male,Subarachnoid Haemorrhage,53,2.22611,2.367778
2009,S92000003,under 75,Female,Cerebrovascular Disease,491,20.00688,21.39011
2009,S92000003,under 75,Female,Stroke,292,11.89818,12.81997
2009,S92000003,under 75,Female,Subarachnoid Haemorrhage,88,3.585754,3.651777
2009,S92000003,over 75,All,Cerebrovascular Disease,3866,974.0268,1047.431
2009,S92000003,over 75,All,Stroke,2107,530.8522,546.8474
2009,S92000003,over 75,All,Subarachnoid Haemorrhage,48,12.09345,10.96579
2009,S92000003,over 75,Male,Cerebrovascular Disease,1289,852.8855,1025.754
2009,S92000003,over 75,Male,Stroke,655,433.3902,496.2829
2009,S92000003,over 75,Male,Subarachnoid Haemorrhage,11,7.278309,7.675353
2009,S92000003,over 75,Female,Cerebrovascular Disease,2577,1048.52,1069.109
2009,S92000003,over 75,Female,Stroke,1452,590.7843,597.412
2009,S92000003,over 75,Female,Subarachnoid Haemorrhage,37,15.05442,14.25622
2009,S08000015,All,All,Cerebrovascular Disease,386,103.6436,116.7516
2009,S08000015,All,All,Stroke,206,55.31241,62.07251
2009,S08000015,All,All,Subarachnoid Haemorrhage,18,4.833123,4.621841
2009,S08000015,All,Male,Cerebrovascular Disease,142,79.71169,114.6451
2009,S08000015,All,Male,Stroke,81,45.46934,63.57565
2009,S08000015,All,Male,Subarachnoid Haemorrhage,6,3.3681,3.375787
2009,S08000015,All,Female,Cerebrovascular Disease,244,125.5868,118.8581
2009,S08000015,All,Female,Stroke,125,64.33748,60.56938
2009,S08000015,All,Female,Subarachnoid Haemorrhage,12,6.176398,5.867894
2009,S08000015,0-44,All,Cerebrovascular Disease,5,2.538922,2.636909
2009,S08000015,0-44,All,Stroke,3,1.523353,1.515158
2009,S08000015,0-44,All,Subarachnoid Haemorrhage,1,0.507784,0.560876
2009,S08000015,0-44,Male,Cerebrovascular Disease,5,5.151984,5.273819
