Council area,Year,ICD codes,Cause,Cause label,Number,Percent,Sex,Total deaths
Scotland,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,1653,5.2,Males,31798
Scotland,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,2175,6.8,Females,31789
Scotland,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,1288,4.1,Males,31798
Scotland,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,1499,4.7,Females,31789
Scotland,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,1986,6.2,Males,31798
Scotland,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,4060,12.8,Females,31789
Scotland,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,4350,13.7,Males,31798
Scotland,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,2698,8.5,Females,31789
Scotland,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,1970,6.2,Males,31798
Scotland,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,1989,6.3,Females,31789
Aberdeen City,2021,X40-X49,Accidental poisoning,Accidental poisoning,39,3.5,Males,1127
Aberdeen City,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,41,3.6,Males,1127
Aberdeen City,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,78,6.9,Females,1130
Aberdeen City,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,43,3.8,Females,1130
Aberdeen City,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,61,5.4,Males,1127
Aberdeen City,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,130,11.5,Females,1130
Aberdeen City,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,120,10.6,Males,1127
Aberdeen City,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,102,9,Females,1130
Aberdeen City,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,81,7.2,Males,1127
Aberdeen City,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,72,6.4,Females,1130
Aberdeenshire,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,82,6.2,Males,1331
Aberdeenshire,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,105,7.9,Females,1322
Aberdeenshire,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,87,6.5,Males,1331
Aberdeenshire,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,163,12.3,Females,1322
Aberdeenshire,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,173,13,Males,1331
Aberdeenshire,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,115,8.7,Females,1322
Aberdeenshire,2021,C50,Malignant neoplasm of breast,Breast cancer,51,3.9,Females,1322
Aberdeenshire,2021,C61,Malignant neoplasm of prostate,Prostate cancer,54,4.1,Males,1331
Aberdeenshire,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,83,6.2,Males,1331
Aberdeenshire,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,82,6.2,Females,1322
Angus,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,48,6.5,Males,734
Angus,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,47,5.8,Females,812
Angus,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,32,3.9,Females,812
Angus,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,55,7.5,Males,734
Angus,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,132,16.3,Females,812
Angus,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,82,11.2,Males,734
Angus,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,70,8.6,Females,812
Angus,2021,C61,Malignant neoplasm of prostate,Prostate cancer,43,5.9,Males,734
Angus,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,52,7.1,Males,734
Angus,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,39,4.8,Females,812
Argyll and Bute,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,27,4.6,Males,587
Argyll and Bute,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,39,6.8,Females,570
Argyll and Bute,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,23,4,Females,570
Argyll and Bute,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,42,7.2,Males,587
Argyll and Bute,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,80,14,Females,570
Argyll and Bute,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,78,13.3,Males,587
Argyll and Bute,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,46,8.1,Females,570
Argyll and Bute,2021,C18-C21,"Malignant neoplasm of colon, sigmoid, rectum and anus",Colorectal cancer,28,4.8,Males,587
Argyll and Bute,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,32,5.5,Males,587
Argyll and Bute,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,43,7.5,Females,570
City of Edinburgh,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,143,6.2,Males,2318
City of Edinburgh,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,164,7.1,Females,2298
City of Edinburgh,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,87,3.8,Males,2318
City of Edinburgh,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,104,4.5,Females,2298
City of Edinburgh,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,142,6.1,Males,2318
City of Edinburgh,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,325,14.1,Females,2298
City of Edinburgh,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,303,13.1,Males,2318
City of Edinburgh,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,185,8.1,Females,2298
City of Edinburgh,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,132,5.7,Males,2318
City of Edinburgh,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,130,5.7,Females,2298
Clackmannanshire,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,19,5.4,Males,349
Clackmannanshire,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,27,8.6,Females,315
Clackmannanshire,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,18,5.7,Females,315
Clackmannanshire,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,28,8,Males,349
Clackmannanshire,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,39,12.4,Females,315
Clackmannanshire,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,65,18.6,Males,349
Clackmannanshire,2021,I20-I25,Ischaemic heart diseases,Ischaemic heart diseases,36,11.4,Females,315
Clackmannanshire,2021,C61,Malignant neoplasm of prostate,Prostate cancer,17,4.9,Males,349
Clackmannanshire,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,14,4,Males,349
Clackmannanshire,2021,C33-C34,"Malignant neoplasm of trachea, bronchus and lung",Lung cancer,25,7.9,Females,315
Dumfries and Galloway,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,50,4.5,Males,1114
Dumfries and Galloway,2021,I60-I69,Cerebrovascular disease,Cerebrovascular disease,72,7,Females,1034
Dumfries and Galloway,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,55,4.9,Males,1114
Dumfries and Galloway,2021,J40-J47,Chronic lower respiratory diseases,Chronic lower respiratory diseases,48,4.6,Females,1034
Dumfries and Galloway,2021,"F01, F03, G30",Dementia and Alzheimer's Disease,Dementia and Alzheimer's,80,7.2,Males,1114
