Council area,Year,Sex,Age,Population
Aberdeen City,2001,Female,0,1000
Aberdeen City,2001,Female,1,953
Aberdeen City,2001,Female,2,1002
Aberdeen City,2001,Female,3,936
Aberdeen City,2001,Female,4,971
Aberdeen City,2001,Female,5,958
Aberdeen City,2001,Female,6,1040
Aberdeen City,2001,Female,7,1073
Aberdeen City,2001,Female,8,1088
Aberdeen City,2001,Female,9,1067
Aberdeen City,2001,Female,10,1154
Aberdeen City,2001,Female,11,1112
Aberdeen City,2001,Female,12,1071
Aberdeen City,2001,Female,13,1159
Aberdeen City,2001,Female,14,1060
Aberdeen City,2001,Female,15,1178
Aberdeen City,2001,Female,16,1080
Aberdeen City,2001,Female,17,1130
Aberdeen City,2001,Female,18,1646
Aberdeen City,2001,Female,19,2086
Aberdeen City,2001,Female,20,2151
Aberdeen City,2001,Female,21,2285
Aberdeen City,2001,Female,22,1985
Aberdeen City,2001,Female,23,1637
Aberdeen City,2001,Female,24,1553
Aberdeen City,2001,Female,25,1637
Aberdeen City,2001,Female,26,1639
Aberdeen City,2001,Female,27,1630
Aberdeen City,2001,Female,28,1648
Aberdeen City,2001,Female,29,1728
Aberdeen City,2001,Female,30,1792
Aberdeen City,2001,Female,31,1686
Aberdeen City,2001,Female,32,1719
Aberdeen City,2001,Female,33,1573
Aberdeen City,2001,Female,34,1582
Aberdeen City,2001,Female,35,1602
Aberdeen City,2001,Female,36,1720
Aberdeen City,2001,Female,37,1600
Aberdeen City,2001,Female,38,1612
Aberdeen City,2001,Female,39,1572
Aberdeen City,2001,Female,40,1533
Aberdeen City,2001,Female,41,1605
Aberdeen City,2001,Female,42,1584
Aberdeen City,2001,Female,43,1526
Aberdeen City,2001,Female,44,1459
Aberdeen City,2001,Female,45,1427
Aberdeen City,2001,Female,46,1396
Aberdeen City,2001,Female,47,1355
Aberdeen City,2001,Female,48,1232
Aberdeen City,2001,Female,49,1296
Aberdeen City,2001,Female,50,1290
Aberdeen City,2001,Female,51,1272
Aberdeen City,2001,Female,52,1404
Aberdeen City,2001,Female,53,1368
Aberdeen City,2001,Female,54,1531
Aberdeen City,2001,Female,55,1128
Aberdeen City,2001,Female,56,1030
Aberdeen City,2001,Female,57,1047
Aberdeen City,2001,Female,58,1079
Aberdeen City,2001,Female,59,1048
Aberdeen City,2001,Female,60,952
Aberdeen City,2001,Female,61,1058
Aberdeen City,2001,Female,62,1022
Aberdeen City,2001,Female,63,975
Aberdeen City,2001,Female,64,979
Aberdeen City,2001,Female,65,1036
Aberdeen City,2001,Female,66,987
Aberdeen City,2001,Female,67,987
Aberdeen City,2001,Female,68,1002
Aberdeen City,2001,Female,69,1065
Aberdeen City,2001,Female,70,973
Aberdeen City,2001,Female,71,987
Aberdeen City,2001,Female,72,969
Aberdeen City,2001,Female,73,933
Aberdeen City,2001,Female,74,868
Aberdeen City,2001,Female,75,863
Aberdeen City,2001,Female,76,840
Aberdeen City,2001,Female,77,820
Aberdeen City,2001,Female,78,795
Aberdeen City,2001,Female,79,768
Aberdeen City,2001,Female,80,770
Aberdeen City,2001,Female,81,774
Aberdeen City,2001,Female,82,436
Aberdeen City,2001,Female,83,415
Aberdeen City,2001,Female,84,393
Aberdeen City,2001,Female,85,426
Aberdeen City,2001,Female,86,361
Aberdeen City,2001,Female,87,348
Aberdeen City,2001,Female,88,340
Aberdeen City,2001,Female,89,285
Aberdeen City,2001,Female,90,1023
Aberdeen City,2001,Male,0,1065
Aberdeen City,2001,Male,1,1044
Aberdeen City,2001,Male,2,1091
Aberdeen City,2001,Male,3,1072
Aberdeen City,2001,Male,4,1105
Aberdeen City,2001,Male,5,1083
Aberdeen City,2001,Male,6,1076
Aberdeen City,2001,Male,7,1123
Aberdeen City,2001,Male,8,1142
Aberdeen City,2001,Male,9,1210
Aberdeen City,2001,Male,10,1164
Aberdeen City,2001,Male,11,1092
Aberdeen City,2001,Male,12,1134
Aberdeen City,2001,Male,13,1137
Aberdeen City,2001,Male,14,1129
Aberdeen City,2001,Male,15,1201
Aberdeen City,2001,Male,16,1163
Aberdeen City,2001,Male,17,1122
Aberdeen City,2001,Male,18,1395
Aberdeen City,2001,Male,19,1776
Aberdeen City,2001,Male,20,2081
Aberdeen City,2001,Male,21,2270
Aberdeen City,2001,Male,22,1997
Aberdeen City,2001,Male,23,1824
Aberdeen City,2001,Male,24,1825
Aberdeen City,2001,Male,25,1638
Aberdeen City,2001,Male,26,1658
Aberdeen City,2001,Male,27,1708
Aberdeen City,2001,Male,28,1846
Aberdeen City,2001,Male,29,1791
Aberdeen City,2001,Male,30,1839
Aberdeen City,2001,Male,31,1695
Aberdeen City,2001,Male,32,1782
Aberdeen City,2001,Male,33,1706
Aberdeen City,2001,Male,34,1790
Aberdeen City,2001,Male,35,1586
Aberdeen City,2001,Male,36,1650
Aberdeen City,2001,Male,37,1659
Aberdeen City,2001,Male,38,1626
Aberdeen City,2001,Male,39,1592
Aberdeen City,2001,Male,40,1509
Aberdeen City,2001,Male,41,1617
Aberdeen City,2001,Male,42,1523
Aberdeen City,2001,Male,43,1553
Aberdeen City,2001,Male,44,1493
Aberdeen City,2001,Male,45,1486
Aberdeen City,2001,Male,46,1446
Aberdeen City,2001,Male,47,1426
Aberdeen City,2001,Male,48,1381
Aberdeen City,2001,Male,49,1336
Aberdeen City,2001,Male,50,1374
Aberdeen City,2001,Male,51,1401
Aberdeen City,2001,Male,52,1444
Aberdeen City,2001,Male,53,1437
Aberdeen City,2001,Male,54,1551
Aberdeen City,2001,Male,55,1183
Aberdeen City,2001,Male,56,946
Aberdeen City,2001,Male,57,1028
Aberdeen City,2001,Male,58,1058
Aberdeen City,2001,Male,59,990
Aberdeen City,2001,Male,60,937
Aberdeen City,2001,Male,61,961
Aberdeen City,2001,Male,62,911
Aberdeen City,2001,Male,63,967
Aberdeen City,2001,Male,64,912
Aberdeen City,2001,Male,65,875
Aberdeen City,2001,Male,66,875
Aberdeen City,2001,Male,67,897
Aberdeen City,2001,Male,68,826
Aberdeen City,2001,Male,69,830
Aberdeen City,2001,Male,70,770
Aberdeen City,2001,Male,71,759
Aberdeen City,2001,Male,72,707
Aberdeen City,2001,Male,73,655
Aberdeen City,2001,Male,74,705
Aberdeen City,2001,Male,75,617
Aberdeen City,2001,Male,76,572
Aberdeen City,2001,Male,77,506
Aberdeen City,2001,Male,78,442
Aberdeen City,2001,Male,79,428
Aberdeen City,2001,Male,80,452
Aberdeen City,2001,Male,81,476
Aberdeen City,2001,Male,82,219
Aberdeen City,2001,Male,83,201
Aberdeen City,2001,Male,84,201
Aberdeen City,2001,Male,85,205
Aberdeen City,2001,Male,86,173
Aberdeen City,2001,Male,87,134
Aberdeen City,2001,Male,88,114
Aberdeen City,2001,Male,89,78
Aberdeen City,2001,Male,90,261
Aberdeenshire,2001,Female,0,1116
Aberdeenshire,2001,Female,1,1197
Aberdeenshire,2001,Female,2,1274
Aberdeenshire,2001,Female,3,1287
Aberdeenshire,2001,Female,4,1316
Aberdeenshire,2001,Female,5,1321
Aberdeenshire,2001,Female,6,1425
Aberdeenshire,2001,Female,7,1490
Aberdeenshire,2001,Female,8,1535
Aberdeenshire,2001,Female,9,1637
Aberdeenshire,2001,Female,10,1577
Aberdeenshire,2001,Female,11,1591
Aberdeenshire,2001,Female,12,1572
Aberdeenshire,2001,Female,13,1609
Aberdeenshire,2001,Female,14,1582
Aberdeenshire,2001,Female,15,1600
Aberdeenshire,2001,Female,16,1531
Aberdeenshire,2001,Female,17,1441
Aberdeenshire,2001,Female,18,1123
Aberdeenshire,2001,Female,19,999
Aberdeenshire,2001,Female,20,1013
Aberdeenshire,2001,Female,21,1036
Aberdeenshire,2001,Female,22,954
Aberdeenshire,2001,Female,23,989
Aberdeenshire,2001,Female,24,949
Aberdeenshire,2001,Female,25,1023
Aberdeenshire,2001,Female,26,1053
Aberdeenshire,2001,Female,27,1219
Aberdeenshire,2001,Female,28,1325
Aberdeenshire,2001,Female,29,1443
Aberdeenshire,2001,Female,30,1574
Aberdeenshire,2001,Female,31,1587
Aberdeenshire,2001,Female,32,1698
Aberdeenshire,2001,Female,33,1762
Aberdeenshire,2001,Female,34,1822
Aberdeenshire,2001,Female,35,1843
Aberdeenshire,2001,Female,36,1896
Aberdeenshire,2001,Female,37,1970
Aberdeenshire,2001,Female,38,1950
Aberdeenshire,2001,Female,39,1850
Aberdeenshire,2001,Female,40,1854
Aberdeenshire,2001,Female,41,1839
Aberdeenshire,2001,Female,42,1845
Aberdeenshire,2001,Female,43,1816
Aberdeenshire,2001,Female,44,1819
Aberdeenshire,2001,Female,45,1795
Aberdeenshire,2001,Female,46,1760
Aberdeenshire,2001,Female,47,1823
Aberdeenshire,2001,Female,48,1700
Aberdeenshire,2001,Female,49,1620
Aberdeenshire,2001,Female,50,1626
Aberdeenshire,2001,Female,51,1631
Aberdeenshire,2001,Female,52,1670
Aberdeenshire,2001,Female,53,1745
Aberdeenshire,2001,Female,54,1872
Aberdeenshire,2001,Female,55,1486
Aberdeenshire,2001,Female,56,1351
Aberdeenshire,2001,Female,57,1340
Aberdeenshire,2001,Female,58,1281
