Year,CA,CAQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2012,S92000003,d,0-44 years,,Males,,Cerebrovascular Disease,23,,1.57260763644593,,1.7323151051422612
2012,S92000003,d,0-44 years,,Females,,Cerebrovascular Disease,22,,1.49820079704282,,1.4721797930184084
2012,S92000003,d,45-64 years,,Males,,Cerebrovascular Disease,166,,23.321780154289,,23.787826444239123
2012,S92000003,d,45-64 years,,Females,,Cerebrovascular Disease,135,,18.1181058929475,,18.234683458918433
2012,S92000003,d,65-74 years,,Males,,Cerebrovascular Disease,274,,114.654425702677,,119.31711979179364
2012,S92000003,d,65-74 years,,Females,,Cerebrovascular Disease,276,,102.866471120984,,105.7192063335165
2012,S92000003,d,75plus years,,Males,,Cerebrovascular Disease,1223,,745.772633864054,,852.250130663248
2012,S92000003,d,75plus years,,Females,,Cerebrovascular Disease,2360,,927.446927242575,,908.209782454995
2012,S12000005,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000005,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000005,,45-64 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000005,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,52.546985930736895
2012,S12000005,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,194.19691542944872
2012,S12000005,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,32.55497351208973
2012,S12000005,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,867.2888453933151
2012,S12000005,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,851.6854714482274
2012,S12000006,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000006,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000006,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,26.877108391247955
2012,S12000006,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,21.08930349538284
2012,S12000006,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,114.45910310386272
2012,S12000006,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,64.91778609704177
2012,S12000006,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,995.65866155687
2012,S12000006,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,1015.4664592240737
2012,S12000008,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000008,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000008,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,29.59020890812358
2012,S12000008,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,16.972123145549936
2012,S12000008,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,94.51974517476701
2012,S12000008,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,97.23451204215804
2012,S12000008,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,635.6451766742097
2012,S12000008,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,905.9714433986885
2012,S12000010,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000010,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,3.134936629495275
2012,S12000010,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,21.783249849329245
2012,S12000010,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,6.709447381158913
2012,S12000010,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,93.6461113452264
2012,S12000010,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,20.008003201280513
2012,S12000010,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,382.56100532661435
2012,S12000010,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,812.9766492585717
2012,S12000011,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000011,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000011,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,16.643833854870447
2012,S12000011,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,22.462345948339692
2012,S12000011,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,77.09760820371186
2012,S12000011,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,84.98060558137776
2012,S12000011,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,776.6815253638324
2012,S12000011,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,742.7960434394868
2012,S12000013,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000013,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000013,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,66.40005997088913
2012,S12000013,,45-64 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000013,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,369.16137456228864
2012,S12000013,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,179.5290707870665
2012,S12000013,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,868.0547670214721
2012,S12000013,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,889.7205113169933
2012,S12000014,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000014,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000014,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,14.233255042522138
2012,S12000014,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,22.43579563295706
2012,S12000014,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,103.32130352435469
2012,S12000014,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,143.6667486059962
2012,S12000014,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,689.3496060030528
2012,S12000014,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,938.2257303049904
2012,S12000017,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000017,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,1.8273929007191494
2012,S12000017,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,6.001480236996498
2012,S12000017,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,19.573676806408116
2012,S12000017,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,64.538960601809407
2012,S12000017,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,96.0759231941198
2012,S12000017,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,933.1040398425841
2012,S12000017,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,913.2415888651337
2012,S12000018,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000018,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,8.333630963010583
2012,S12000018,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,52.19594087354177
2012,S12000018,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,7.599279154091668
2012,S12000018,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,136.94809133844623
2012,S12000018,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,185.31962631341514
2012,S12000018,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,782.8944722501334
2012,S12000018,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,837.3899245243248
2012,S12000019,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000019,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000019,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,17.462139295018073
2012,S12000019,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,15.697239178804617
2012,S12000019,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,80.06395202195529
2012,S12000019,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,40.826930928255955
2012,S12000019,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,581.8918410943788
2012,S12000019,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,809.7326285507598
2012,S12000020,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000020,,0-44 years,,Females,,Cerebrovascular Disease,,c,,c,3.7282033255573657
2012,S12000020,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,24.157086894454935
2012,S12000020,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,30.684116481813398
2012,S12000020,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,65.50699208419259
2012,S12000020,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,154.5258958157401
2012,S12000020,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,824.023488322782
2012,S12000020,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,904.6987060677395
2012,S12000021,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000021,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000021,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,20.51255526084355
2012,S12000021,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,18.913275876156554
2012,S12000021,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,205.91988010331963
2012,S12000021,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,102.02866923922284
2012,S12000021,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,932.1401842627157
2012,S12000021,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,838.1568211918527
2012,S12000023,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000023,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000023,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,30.583917564579117
2012,S12000023,,45-64 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000023,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,73.05572159128644
2012,S12000023,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,73.77598926894701
2012,S12000023,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,1071.9812288655942
2012,S12000023,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,962.1773986380587
2012,S12000026,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,4.538852578068265
2012,S12000026,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000026,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,11.88382417873804
2012,S12000026,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,5.346283219353546
2012,S12000026,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,34.03791824092039
2012,S12000026,,65-74 years,,Females,,Cerebrovascular Disease,,c,,c,58.289838958591844
2012,S12000026,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,694.9530258177302
2012,S12000026,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,760.1291484203346
2012,S12000027,,0-44 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000027,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000027,,45-64 years,,Males,,Cerebrovascular Disease,0,,0,,0
2012,S12000027,,45-64 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000027,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,176.5391365966449
2012,S12000027,,65-74 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000027,,75plus years,,Males,,Cerebrovascular Disease,,c,,c,1151.591183651401
2012,S12000027,,75plus years,,Females,,Cerebrovascular Disease,,c,,c,301.8824109954863
2012,S12000028,,0-44 years,,Males,,Cerebrovascular Disease,,c,,c,3.584890199934448
2012,S12000028,,0-44 years,,Females,,Cerebrovascular Disease,0,,0,,0
2012,S12000028,,45-64 years,,Males,,Cerebrovascular Disease,,c,,c,18.61247366296092
2012,S12000028,,45-64 years,,Females,,Cerebrovascular Disease,,c,,c,17.567413680677802
2012,S12000028,,65-74 years,,Males,,Cerebrovascular Disease,,c,,c,125.39766703858885
